data,scale,n,mean,sd
teen_teacher,TTS1_raw,1000,20.14,2.95
,TTS2_raw,1000,20.25,2.93
,TTS3_raw,1000,20.19,2.88
,TTS4_raw,1000,20.27,2.82
,TTS5_raw,1000,20.25,2.9
,TTTOT_raw,1000,101.1,9.11
