data,scale,n,mean,sd
child_parent,CPS1_raw,1000,10.27,2.84
,CPS2_raw,1000,10.19,2.92
,CPS3_raw,1000,10.08,2.79
,CPS4_raw,1000,10.3,2.79
,CPS5_raw,1000,10.21,2.77
