scale,n_full,mean_full,sd_full,n_60perc,mean_60perc,sd_60perc,ES
CPS1_raw,1000,20.273,2.844,704,20.311,2.853,0.013
CPS2_raw,1000,20.188,2.916,704,20.172,2.944,0.006
CPS3_raw,1000,20.084,2.787,704,19.991,2.782,0.033
CPS4_raw,1000,20.299,2.789,704,20.27,2.786,0.01
CPS5_raw,1000,20.21,2.766,704,20.223,2.836,0.005
CPTOT_raw,1000,101.054,8.817,704,100.967,8.97,0.01
